day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std,V,T
114,3.4,8,1,1.7496355305594127,17.7,26,7,4.046918706918656,478.9,486,470,3.654742515847436,0.9998880358285349,1.0,0.9987204094689699,0.00022446397386425936,0.990231075796829,1.0,0.8666666666666667,0.0230322937894701,0.03,5
115,3.32,8,1,1.707606033998164,16.84,25,6,3.903739703600817,479.84,487,470,3.627333872199833,0.9999008317338451,1.0,0.9988803582853487,0.0001962692740288096,0.9916488653635841,1.0,0.9,0.018105918116721582,0.03,5
116,3.24,8,1,1.7444957168541422,16.36,25,6,3.640811750706377,480.4,487,473,3.374574803147922,0.999910428662828,1.0,0.9990403071017274,0.00017746538560412174,0.9924808021224772,1.0,0.9,0.016942196430580352,0.03,5
117,3.18,8,1,1.769238277234769,15.72,23,6,3.6029466398762993,481.1,488,474,3.351819487614308,0.9999232245681382,1.0,0.9992002559181062,0.00015578156063484556,0.9939691605073874,1.0,0.9333333333333333,0.012897832475296375,0.03,5
118,3.12,7,1,1.709994629422286,15.14,22,6,3.5341482823493204,481.74,489,475,3.427440289600307,0.9999328214971208,1.0,0.999360204734485,0.0001411890293919715,0.9945924044409762,1.0,0.9333333333333333,0.01251393511761969,0.03,5
119,3.02,7,1,1.6349499149789868,14.74,22,6,3.584604267572926,482.24,490,475,3.4556076874836292,0.9999456174024313,1.0,0.9996801023672425,0.00011010678917060248,0.9951363148930814,1.0,0.9333333333333333,0.01198543343602062,0.03,5
120,3.0,7,1,1.616244071283537,14.08,22,5,3.5904635594068597,482.92,490,475,3.337113502806309,0.9999488163787588,1.0,0.9996801023672425,0.00010929769438900934,0.9952901610469276,1.0,0.9333333333333333,0.011997747248538528,0.03,5
121,2.98,7,1,1.5970636320754283,13.46,21,5,3.541070978315655,483.56,490,476,3.3329523591811894,0.9999488163787588,1.0,0.9996801023672425,0.00010929769438900934,0.9952901610469276,1.0,0.9333333333333333,0.011997747248538528,0.03,5
122,2.9,7,1,1.5419309389230647,13.1,20,5,3.4537764010675955,484.0,490,477,3.23879544250132,0.9999520153550864,1.0,0.9996801023672425,0.00010345700962134622,0.9953934219164927,1.0,0.9333333333333333,0.011905854308766723,0.03,5
123,2.84,7,1,1.5301060387423866,12.54,20,5,3.4059371930887545,484.62,492,478,3.1421427759555804,0.9999616122840691,1.0,0.9996801023672425,8.88502974829768e-05,0.9958076939471441,1.0,0.9333333333333333,0.011733708726590244,0.03,5
124,2.8,7,1,1.5649215928719031,12.16,20,5,3.3585711247493326,485.04,492,479,3.123054496443361,0.9999648112603967,1.0,0.9996801023672425,8.72492600860948e-05,0.9960160272804773,1.0,0.9333333333333333,0.011713396072179475,0.03,5
125,2.78,7,1,1.5816550360496513,11.6,20,5,3.270149469217028,485.62,492,479,3.148631059844966,0.9999648112603967,1.0,0.9996801023672425,8.72492600860948e-05,0.9960160272804773,1.0,0.9333333333333333,0.011713396072179475,0.03,5
126,2.78,7,1,1.5816550360496513,11.08,19,5,3.076175733415947,486.14,493,480,2.962417655791791,0.9999744081893794,1.0,0.9996801023672425,7.481357071450815e-05,0.9968464194373402,1.0,0.9333333333333333,0.011289623514167001,0.03,5
127,2.78,7,1,1.5816550360496513,10.76,19,4,3.152970740396415,486.46,493,480,2.9980265618079724,0.9999744081893794,1.0,0.9996801023672425,7.481357071450815e-05,0.9968464194373402,1.0,0.9333333333333333,0.011289623514167001,0.03,5
128,2.76,7,1,1.559172988530543,10.34,17,4,3.054671898610924,486.9,493,480,2.9502680611519128,0.9999776071657069,1.0,0.9996801023672425,6.47098174687366e-05,0.9975130861040068,1.0,0.96,0.007953958716738924,0.03,5
129,2.7,7,1,1.5286381827880497,9.96,17,3,3.1360966249170836,487.34,494,481,3.007541541267384,0.999984005118362,1.0,0.9996801023672425,5.825586684938346e-05,0.9979101449275362,1.0,0.96,0.0077992072926286685,0.03,5
130,2.7,7,1,1.5286381827880497,9.46,17,3,3.058677852288736,487.84,495,482,2.9441051445287805,0.999984005118362,1.0,0.9996801023672425,5.825586684938346e-05,0.9979101449275362,1.0,0.96,0.0077992072926286685,0.03,5
131,2.66,7,0,1.5728564940961423,9.2,16,2,3.0639443699324596,488.14,496,482,3.010254582765585,0.999984005118362,1.0,0.9996801023672425,5.825586684938346e-05,0.9978674948240165,1.0,0.96,0.007874136802581824,0.03,5
132,2.66,7,0,1.5728564940961423,8.88,16,2,2.9873201423103386,488.46,496,483,2.9291637031753615,0.9999872040946898,1.0,0.9996801023672425,5.44574320803084e-05,0.9985477669328602,1.0,0.96,0.006429874321893841,0.03,5
133,2.64,7,0,1.587707884508549,8.56,16,2,2.9634508290718324,488.8,496,483,2.899683304312061,0.9999904030710173,1.0,0.9996801023672425,5.016565761835661e-05,0.9988879029872819,1.0,0.96,0.006037105195965397,0.03,5
134,2.64,7,0,1.587707884508549,8.34,16,2,2.9665481899448904,489.02,496,483,2.9311138789594273,0.9999936020473449,1.0,0.9996801023672425,4.5240357081674614e-05,0.9991836734693877,1.0,0.96,0.005714285714285718,0.03,5
135,2.64,7,0,1.587707884508549,8.04,15,2,2.955175328891637,489.32,496,484,2.9098004700512066,0.9999968010236724,1.0,0.9998400511836213,2.2620178540825645e-05,0.9995918367346938,1.0,0.98,0.0028571428571428636,0.03,5
136,2.64,7,0,1.587707884508549,7.64,15,2,2.8410978044928124,489.72,496,484,2.792409536656138,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03,5
137,2.62,7,0,1.5893780069510186,7.24,15,2,2.73719653988514,490.14,496,484,2.672688778388244,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03,5
