day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,V,T
4,477.81,497,443,12.747505202544108,20.81,55,2,12.292475320087066,1.38,6,0,1.3467506724473441,0.0743,16
5,455.37,494,383,25.58434456593888,41.43,107,5,24.309143227280646,3.2,10,0,2.3527332053068695,0.0743,16
6,413.72,488,280,46.58002346348256,79.61,201,10,43.50058515802873,6.67,23,0,4.134249654050926,0.0743,16
7,345.33,476,169,73.5778368858998,142.29,297,22,68.10958119460912,12.38,34,1,6.933712110865554,0.0743,16
8,254.68,451,70,93.91667056545931,223.3,380,45,85.18814590082475,22.02,50,3,10.273020466004603,0.0743,16
9,162.47,401,26,92.88142272203137,303.29,419,89,81.96800250307088,34.24,71,6,13.10880650863411,0.0743,16
10,90.32,324,10,71.65445702900283,360.31,433,160,59.66009698045398,49.37,97,16,15.294849598555201,0.0743,16
11,43.25,213,4,43.17976869139556,390.72,428,259,32.2434176196938,66.03,116,28,16.410427209921174,0.0743,16
12,18.61,111,1,21.084196293274573,398.62,429,340,14.106220420277516,82.77,136,44,16.454316924580773,0.0743,16
13,7.67,57,0,9.470907074197315,393.36,424,356,12.034898748173493,98.97,143,59,16.536739018734536,0.0743,16
14,3.22,25,0,4.04415028345282,382.42,414,340,13.983525660540336,114.36,159,77,16.07904716007007,0.0743,16
15,1.54,15,0,2.2980887975037256,368.46,405,326,14.797228787782531,130.0,174,92,15.905021124465605,0.0743,16
16,0.68,8,0,1.2050399213807037,354.61,393,307,15.230150187948729,144.71,193,105,15.757182104640025,0.0743,16
17,0.39,5,0,0.7506899183653352,341.1,376,299,15.42495682098633,158.51,201,123,15.666018684213979,0.0743,16
18,0.22,3,0,0.5041244034376973,328.12,361,277,16.031080922868412,171.66,223,139,16.142809638668943,0.0743,16
19,0.12,2,0,0.3561863092100633,314.8,350,269,15.497800430442306,185.08,231,150,15.522990443958681,0.0743,16
20,0.07,1,0,0.2564323999762428,302.37,337,257,16.193061863812304,197.56,243,163,16.22899263725885,0.0743,16
21,0.05,1,0,0.21904291355759034,290.14,325,239,16.059875340724048,209.81,261,175,16.059670927607147,0.0743,16
22,0.04,1,0,0.19694638556693236,278.71,311,230,15.213162164070399,221.25,270,189,15.221180750334167,0.0743,16
23,0.02,1,0,0.1407052941362897,267.44,301,222,14.778034477910209,232.54,278,199,14.775368528450153,0.0743,16
24,0.0,0,0,0.0,256.42,288,215,13.977022991938284,243.58,285,212,13.977022991938293,0.0743,16
25,0.0,0,0,0.0,246.15,272,207,13.766725364905309,253.85,293,228,13.766725364905309,0.0743,16
26,0.0,0,0,0.0,236.78,265,197,13.828370778361364,263.22,303,235,13.828370778361354,0.0743,16
27,0.0,0,0,0.0,227.09,253,192,13.391611274422978,272.91,308,247,13.391611274422974,0.0743,16
28,0.0,0,0,0.0,218.64,248,188,13.119127835016899,281.36,312,252,13.11912783501689,0.0743,16
29,0.0,0,0,0.0,209.84,239,178,13.072231344465738,290.16,322,261,13.072231344465727,0.0743,16
30,0.0,0,0,0.0,200.8,231,171,12.127271212878316,299.2,329,269,12.12727121287832,0.0743,16
31,0.0,0,0,0.0,193.0,221,162,12.065477925708441,307.0,338,279,12.065477925708434,0.0743,16
32,0.0,0,0,0.0,184.83,215,157,12.372219614192845,315.17,343,285,12.372219614192845,0.0743,16
33,0.0,0,0,0.0,177.35,208,150,12.447363925220015,322.65,350,292,12.447363925220017,0.0743,16
34,0.0,0,0,0.0,170.3,200,144,12.22144166469883,329.7,356,300,12.221441664698817,0.0743,16
35,0.0,0,0,0.0,163.27,194,135,12.190288401556847,336.73,365,306,12.190288401556836,0.0743,16
36,0.0,0,0,0.0,156.54,187,129,11.892973904067405,343.46,371,313,11.892973904067395,0.0743,16
37,0.0,0,0,0.0,150.39,181,124,11.9780059384952,349.61,376,319,11.978005938495206,0.0743,16
38,0.0,0,0,0.0,144.14,172,122,11.546148074294534,355.86,378,328,11.546148074294539,0.0743,16
39,0.0,0,0,0.0,138.23,164,115,11.392763075964075,361.77,385,336,11.392763075964085,0.0743,16
40,0.0,0,0,0.0,133.05,159,110,11.170284352927304,366.95,390,341,11.170284352927306,0.0743,16
41,0.0,0,0,0.0,127.71,156,104,10.832326293520373,372.29,396,344,10.832326293520381,0.0743,16
42,0.0,0,0,0.0,122.79,152,97,11.086706025914577,377.21,403,348,11.086706025914568,0.0743,16
43,0.0,0,0,0.0,117.81,148,93,10.967992919712737,382.19,407,352,10.967992919712724,0.0743,16
44,0.0,0,0,0.0,113.18,143,89,10.36152556920129,386.82,411,357,10.361525569201287,0.0743,16
45,0.0,0,0,0.0,108.63,138,86,10.129120934666092,391.37,414,362,10.129120934666101,0.0743,16
46,0.0,0,0,0.0,104.49,132,82,10.039814678960902,395.51,418,368,10.03981467896091,0.0743,16
47,0.0,0,0,0.0,100.09,129,75,9.989989939429323,399.91,425,371,9.989989939429313,0.0743,16
48,0.0,0,0,0.0,96.12,128,71,10.110780325369486,403.88,429,372,10.110780325369486,0.0743,16
49,0.0,0,0,0.0,92.14,116,69,9.317107107277714,407.86,431,384,9.317107107277705,0.0743,16
50,0.0,0,0,0.0,88.29,112,66,9.208356986120727,411.71,434,388,9.208356986120732,0.0743,16
51,0.0,0,0,0.0,84.72,108,64,8.732940079047973,415.28,436,392,8.732940079047973,0.0743,16
52,0.0,0,0,0.0,81.5,103,60,8.477540142558267,418.5,440,397,8.477540142558256,0.0743,16
53,0.0,0,0,0.0,78.27,99,60,8.2128932880938,421.73,440,401,8.21289328809379,0.0743,16
