day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,V,T
192,9.98,499,0,70.21194177400855,0.21,2,0,0.43333333333333324,489.81,500,1,70.18312194581122,0.03,20
193,9.98,499,0,70.21194177400855,0.2,2,0,0.4264014327112207,489.82,500,1,70.18451583238476,0.03,20
194,9.98,499,0,70.21194177400855,0.19,2,0,0.4191140246479062,489.83,500,1,70.18590825209657,0.03,20
195,9.98,499,0,70.21194177400855,0.18,2,0,0.4114522199392407,489.84,500,1,70.18729920503401,0.03,20
196,9.98,499,0,70.21194177400855,0.17,2,0,0.40339468604243256,489.85,500,1,70.1886886912843,0.03,20
197,9.98,499,0,70.21194177400855,0.15,2,0,0.38599209705627263,489.87,500,1,70.1914632640716,0.03,20
198,9.98,499,0,70.21194177400855,0.15,2,0,0.38599209705627263,489.87,500,1,70.1914632640716,0.03,20
199,9.98,499,0,70.21194177400855,0.14,2,0,0.3765875486765088,489.88,500,1,70.19284835078255,0.03,20
200,9.98,499,0,70.21194177400855,0.14,2,0,0.3765875486765088,489.88,500,1,70.19284835078255,0.03,20
1,497.83,499,495,1.035286521605582,2.11,5,0,1.053085893453093,0.06,1,0,0.23868325657594208,0.03,25
2,495.32,499,487,2.9159263129623634,4.46,13,0,2.8759539480163987,0.22,2,0,0.43992653197477594,0.03,25
3,489.74,499,464,6.926190959836525,9.63,35,0,6.655528574505606,0.63,3,0,0.7608474807008884,0.03,25
4,479.05,499,430,14.55284692200648,19.65,66,0,13.929385405601273,1.3,6,0,1.1934162828797104,0.03,25
5,457.99,499,368,28.820760965426686,38.99,122,0,26.955816823202753,3.02,12,0,2.420368116254595,0.03,25
6,419.21,499,271,51.45446059528285,74.78,210,0,47.759621168319725,6.01,20,0,4.381999451382803,0.03,25
7,358.25,499,162,79.31249726381223,130.53,313,0,73.28351682598098,11.22,29,0,6.712840101046815,0.03,25
8,277.43,499,72,105.55167770654651,202.78,378,0,95.68736762620404,19.79,50,1,10.8732783381178,0.03,25
9,193.23,499,26,116.99243306273868,275.06,405,0,103.35403702660564,31.71,69,1,15.171274691257015,0.03,25
10,121.08,499,14,109.30521441811409,333.27,415,0,93.02566768631573,45.65,88,1,18.532731078071606,0.03,25
11,71.43,499,5,92.27366576623797,367.31,416,0,74.8723755884814,61.26,107,1,21.343094357840354,0.03,25
12,40.7,499,1,74.90579942753956,382.19,423,0,57.91419898819671,77.11,118,1,22.916579063193446,0.03,25
13,23.39,499,0,60.77344831587245,384.18,419,0,45.91986432246875,92.43,132,1,24.516024444135603,0.03,25
14,13.93,499,0,52.977459472130334,377.94,417,0,41.26039997455921,108.13,150,1,24.791923986441535,0.03,25
15,9.23,499,0,50.321964399356474,367.69,415,0,40.61141179122892,123.08,166,1,24.93250687335509,0.03,25
16,6.95,499,0,49.87304589726506,355.12,418,0,40.38958761709246,137.93,182,1,25.119212736167675,0.03,25
17,5.96,499,0,49.84722518441582,342.07,408,0,39.85409120603036,151.97,194,1,25.923529735346502,0.03,25
18,5.51,499,0,49.862537302694754,329.21,393,0,38.94940904104278,165.28,207,1,26.631825724387376,0.03,25
19,5.28,499,0,49.87440387228865,316.37,377,0,37.39973937142483,178.35,216,1,26.617900485624823,0.03,25
20,5.21,499,0,49.88011789898017,303.83,362,0,36.15540391591876,190.96,229,1,27.197712322097164,0.03,25
21,5.11,499,0,49.88914883736915,291.39,352,0,35.192083303958114,203.5,241,1,28.14123829772409,0.03,25
22,5.05,499,0,49.89450993057373,279.56,338,0,33.80105789988703,215.39,253,1,28.54197511445806,0.03,25
23,5.05,499,0,49.89450993057373,267.88,325,0,32.17856743269037,227.07,262,1,28.729408084554912,0.03,25
24,5.05,499,0,49.89450993057373,257.11,316,0,31.284906161523864,237.84,276,1,29.613578649059633,0.03,25
25,5.03,499,0,49.896348118430026,246.75,301,0,30.041847916907944,248.22,288,1,30.094323099685802,0.03,25
26,5.01,499,0,49.89817814127267,236.74,289,0,29.040069844366023,258.25,299,1,30.772667591664366,0.03,25
27,4.99,499,0,49.900000000000006,227.17,277,0,28.255706494351706,267.84,304,1,31.596483629951265,0.03,25
28,4.99,499,0,49.900000000000006,217.98,265,0,27.412663887592934,277.03,313,1,32.311756311899785,0.03,25
29,4.99,499,0,49.900000000000006,209.31,255,0,26.343379364911335,285.7,320,1,32.77147688111869,0.03,25
30,4.99,499,0,49.900000000000006,200.92,248,0,25.460875114892684,294.09,330,1,33.35910973062983,0.03,25
31,4.99,499,0,49.900000000000006,192.54,238,0,24.556436750037363,302.47,340,1,33.94215370273073,0.03,25
32,4.99,499,0,49.900000000000006,184.5,225,0,23.746344747958357,310.51,349,1,34.55415746302892,0.03,25
33,4.99,499,0,49.900000000000006,177.04,216,0,22.999306094055985,317.97,353,1,35.13220485796212,0.03,25
34,4.99,499,0,49.900000000000006,169.87,203,0,21.8944460463554,325.14,359,1,35.453489235756464,0.03,25
35,4.99,499,0,49.900000000000006,163.04,194,0,21.287792300050782,331.97,370,1,36.05003677550345,0.03,25
