day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std
81,15.21,0,499,85.29597244051365,31.78,0,49,8.001356668885194,453.01,1,481,79.89654051290113,0.9999918540241122,0.9996741609644836,1.0,4.243395015931969e-05,0.9890629399789325,0.8823529411764706,1.0,0.026072438786682722
82,15.205,0,499,85.29683891354483,30.575,0,46,7.691565242484585,454.22,1,482,80.09442668456803,0.9999926686217009,0.9996741609644836,1.0,4.09869558188635e-05,0.9901240136097577,0.8823529411764706,1.0,0.025342731154959174
83,15.205,0,499,85.29683891354483,29.325,0,44,7.492668108016292,455.47,1,483,80.30932097319635,0.9999926686217009,0.9996741609644836,1.0,4.09869558188635e-05,0.9901240136097577,0.8823529411764706,1.0,0.025342731154959174
84,15.205,0,499,85.29683891354483,28.02,0,43,7.1663367147760875,456.775,1,484,80.52362788797586,0.9999951124144673,0.9996741609644836,1.0,3.22960905629464e-05,0.9935267197214421,0.92059551950171,1.0,0.01899508828079828
85,15.195,0,499,85.29857094951915,26.93,0,43,6.944510865120661,457.875,1,484,80.7087285821474,0.9999951124144673,0.9996741609644836,1.0,3.22960905629464e-05,0.9932256369177883,0.92059551950171,1.0,0.01938831506537253
86,15.175,0,499,85.30185465179039,25.875,0,43,6.815543497464392,458.95,1,485,80.89839461482705,0.9999975562072336,0.9998370804822417,1.0,1.9852962411083115e-05,0.9959405222784813,0.9378394882840413,1.0,0.014760249657013029
87,15.175,0,499,85.30185465179039,24.89,0,42,6.6746275751034725,459.935,1,486,81.06930328227426,0.9999975562072336,0.9998370804822417,1.0,1.9852962411083115e-05,0.9959405222784813,0.9378394882840413,1.0,0.014760249657013029
88,15.175,0,499,85.30185465179039,23.805,0,41,6.535329191264273,461.02,1,486,81.2590596417984,0.9999975562072336,0.9998370804822417,1.0,1.9852962411083115e-05,0.9959405222784813,0.9378394882840413,1.0,0.014760249657013029
89,15.175,0,499,85.30185465179039,22.86,0,38,6.3507527350313,461.965,1,487,81.41934242922895,0.9999975562072336,0.9998370804822417,1.0,1.9852962411083115e-05,0.9959405222784813,0.9378394882840413,1.0,0.014760249657013029
90,15.175,0,499,85.30185465179039,21.92,0,37,6.132015006521185,462.905,1,488,81.57578697199618,0.9999975562072336,0.9998370804822417,1.0,1.9852962411083115e-05,0.9959405222784813,0.9378394882840413,1.0,0.014760249657013029
91,15.165,0,499,85.30358305139963,21.15,0,35,5.988892566314265,463.685,1,491,81.70885791829156,0.9999983708048223,0.9998370804822417,1.0,1.625096566869889e-05,0.9972406395597306,0.9378394882840413,1.0,0.012175359270323913
92,15.165,0,499,85.30358305139963,20.085,0,32,5.681476115788165,464.75,1,491,81.8832819279765,0.9999983708048223,0.9998370804822417,1.0,1.625096566869889e-05,0.9972406395597306,0.9378394882840413,1.0,0.012175359270323913
93,15.165,0,499,85.30358305139963,19.38,0,31,5.5197771421038775,465.455,1,491,82.00164218848327,0.9999983708048223,0.9998370804822417,1.0,1.625096566869889e-05,0.9972406395597306,0.9378394882840413,1.0,0.012175359270323913
